endTime,artistName,trackName,msPlayed
2019-10-03 00:58,Jay Park,좋아 Joah - Remastered,192487
2019-10-03 04:18,Zac Brown Band,From Now On,104885
2019-10-03 04:19,Zac Brown Band,Sweet Annie,72842
2019-10-03 15:04,Old Dominion,Song for Another Time,191826
2019-10-03 15:08,Elvis Presley,Burning Love - Live,177080
2019-10-03 16:08,Phillip Phillips,Home,172464
2019-10-03 16:24,Jonas Brothers,Paranoid,218266
2019-10-03 16:27,Cast Of Camp Rock,We Rock,190933
2019-10-03 16:30,Unspoken,Who You Are,204013
2019-10-03 16:35,Michael Jackson,Beat It - Single Version,258040
2019-10-03 16:38,American Authors,Go Big Or Go Home,169026
2019-10-03 16:41,Rag'n'Bone Man,Human,200186
2019-10-03 16:46,Eminem,The Real Slim Shady,284200
2019-10-03 16:50,Nena,99 Red Balloons - Club Mix,281453
2019-10-03 16:54,Keith Urban,You'll Think Of Me - Single Version,231293
2019-10-03 16:58,Boys Like Girls,Be Your Everything,210706
2019-10-03 17:01,Brewer & Shipley,One Toke Over the Line,199041
2019-10-03 17:05,We The Kings,"Check Yes, Juliet",220146
2019-10-03 17:23,Straight No Chaser,Text Me Merry Christmas (feat. Kristen Bell),48699
2019-10-03 23:40,Taylor Swift,I Forgot That You Existed,39773
2019-10-03 23:41,Taylor Swift,Cruel Summer,50858
2019-10-03 23:43,Taylor Swift,Lover,142992
2019-10-03 23:45,Taylor Swift,The Archer,67049
2019-10-03 23:47,Taylor Swift,I Think He Knows,93457
2019-10-03 23:48,Taylor Swift,Miss Americana & The Heartbreak Prince,56207
2019-10-03 23:49,Taylor Swift,Paper Rings,66741
2019-10-03 23:50,Taylor Swift,Cornelia Street,68718
2019-10-03 23:51,Taylor Swift,Death By A Thousand Cuts,59228
2019-10-03 23:52,Taylor Swift,London Boy,79289
2019-10-03 23:56,Taylor Swift,Daylight,46468
2019-10-04 00:03,Taylor Swift,State Of Grace,136213
2019-10-04 00:05,Taylor Swift,Red,34259
2019-10-04 00:07,Taylor Swift,Red,35059
2019-10-04 00:09,Jon Bellion,Morning In America,108574
2019-10-04 00:10,Taylor Swift,Treacherous,80898
2019-10-04 00:14,Taylor Swift,All Too Well,118065
2019-10-04 00:19,Taylor Swift,Stay Stay Stay,78177
2019-10-04 00:21,Taylor Swift,The Last Time,106688
2019-10-04 00:22,Taylor Swift,Holy Ground,92466
2019-10-04 00:23,Taylor Swift,Sad Beautiful Tragic,52539
2019-10-04 00:24,Taylor Swift,The Lucky One,71962
2019-10-04 00:25,Taylor Swift,Everything Has Changed,72841
2019-10-04 00:26,Taylor Swift,Starlight,62060
2019-10-04 00:27,Taylor Swift,Begin Again,43920
2019-10-04 00:30,Old Dominion,Half Empty,34843
2019-10-04 04:06,Fall Out Boy,"Sugar, We're Goin Down",220158
2019-10-04 04:16,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),196440
2019-10-04 04:32,Jet,Are You Gonna Be My Girl,213800
2019-10-04 04:35,The All-American Rejects,Dirty Little Secret,193653
2019-10-04 04:44,Robin Schulz,Sugar (feat. Francesco Yates),219043
2019-10-04 14:30,Billy Joel,We Didn't Start the Fire,287733
2019-10-04 14:34,Thomas Rhett,Marry Me,205453
2019-10-04 15:01,Old Dominion,Written in the Sand,184080
2019-10-04 15:43,Zac Brown Band,Keep Me in Mind,193698
2019-10-04 18:51,Taylor Swift,State Of Grace,140450
2019-10-05 01:18,Dan + Shay,"10,000 Hours (with Justin Bieber)",164668
2019-10-05 01:40,Luke Combs,When It Rains It Pours,193600
2019-10-05 20:27,Jonas Brothers,Fly With Me,234146
2019-10-05 20:35,Stellar Kart,Can You Feel The Love Tonight,224573
2019-10-05 20:52,The Goo Goo Dolls,Sympathy,178146
2019-10-05 20:59,Robin Schulz,Sugar (feat. Francesco Yates),219043
2019-10-05 21:03,Phillip Phillips,"Gone, Gone, Gone",209693
2019-10-05 21:16,Phillip Phillips,Home,210173
2019-10-05 21:25,Justin Moore,If Heaven Wasn't So Far Away,50983
2019-10-06 04:41,Kacey Musgraves,Follow Your Arrow,199640
2019-10-06 04:44,Guster,This Could All Be Yours,212146
2019-10-06 04:48,Chris Tomlin,Holy Is The Lord,252533
2019-10-06 04:51,Pentatonix,Cheerleader,183066
2019-10-06 04:54,Jonas Brothers,Sucker,181040
2019-10-06 04:58,Kid Ink,Ride Out,211908
2019-10-06 05:04,Dan + Shay,Tequila - Acoustic,195320
2019-10-06 05:09,"Phillips, Craig & Dean",You Are God Alone (Not A God),258480
2019-10-06 05:12,Carly Rae Jepsen,Everywhere You Look (The Fuller House Theme),198207
2019-10-06 05:15,Pentatonix,White Winter Hymnal,167253
2019-10-06 05:21,Lobo,I'd Love You to Want Me,247640
2019-10-06 05:25,The Spinners,The Rubberband Man,215109
2019-10-06 05:29,Rob Thomas,Streetcorner Symphony,247826
2019-10-06 05:32,Billy Currington,Hey Girl,198301
2019-10-07 14:40,Zac Brown Band,From Now On,260960
2019-10-07 14:44,Eminem,Without Me,248090
2019-10-07 14:51,Phil Collins,You Can't Hurry Love - 2016 Remaster,175746
2019-10-07 14:55,Taylor Swift,Holy Ground,201853
2019-10-07 15:26,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",187853
2019-10-07 15:28,Jonas Brothers,Paranoid,106637
2019-10-07 16:41,Jonas Brothers,Paranoid,111629
2019-10-07 19:15,Maroon 5,Lucky Strike,99381
2019-10-07 19:42,Maroon 5,Lucky Strike,86185
2019-10-07 20:19,Jonas Brothers,Lovebug,133059
2019-10-07 23:59,Dan + Shay,My Side of the Fence,122353
2019-10-08 15:08,"Earth, Wind & Fire",September,215080
2019-10-08 15:12,Old Dominion,Snapback,206506
2019-10-08 15:25,Zac Brown Band,My Old Man,227222
2019-10-08 16:07,Duran Duran,Hungry Like the Wolf - 2009 Remaster,220626
2019-10-08 16:11,Jay Park,좋아 Joah - Remastered,212283
2019-10-08 17:17,Taylor Swift,Holy Ground,140571
2019-10-08 20:00,Old Dominion,Make It Sweet,186133
2019-10-08 20:01,Becky G,Mayores,55814
2019-10-08 20:09,Rex Orange County,Sunflower,252230
2019-10-08 20:42,Dan + Shay,Speechless,159598
2019-10-08 21:14,Paramore,Misery Business,208299
2019-10-08 21:21,blink-182,Darkside,180960
2019-10-08 21:22,Train,"Hey, Soul Sister",34959
2019-10-08 21:25,DMX,Party Up,164721
2019-10-08 21:41,Sweet,Ballroom Blitz,246573
2019-10-08 21:54,Eminem,Berzerk,238746
2019-10-08 21:58,Hollywood Undead,Day Of The Dead,235240
2019-10-08 22:08,Daddy Yankee,Limbo,224693
2019-10-08 22:12,Boys Like Girls,Five Minutes to Midnight,227360
2019-10-08 22:16,The Killers,Mr. Brightside,222586
2019-10-08 22:38,Bowling For Soup,Almost,206160
2019-10-08 22:41,Elvis Presley,Stuck on You,139640
2019-10-08 22:46,Elvis Presley,Burning Love - Live,110277
2019-10-09 16:39,Taylor Swift,All Too Well,327893
2019-10-09 16:40,Stellar Kart,A Whole New World,65124
2019-10-09 18:53,Sidewalk Prophets,Smile,113547
2019-10-09 20:33,Neil Diamond,Cracklin' Rosie,178853
2019-10-09 20:44,The Goo Goo Dolls,Come to Me,225333
2019-10-09 20:47,Taylor Swift,You Belong With Me,232120
2019-10-09 20:52,Stellar Kart,Can You Feel The Love Tonight,224573
2019-10-09 21:07,Thomas Rhett,Marry Me,205453
2019-10-09 21:24,Passion,In Christ Alone - Live,53943
2019-10-09 23:53,Train,Drops of Jupiter (Tell Me),259933
2019-10-10 00:00,The Goo Goo Dolls,Iris,289906
2019-10-10 15:15,Dan + Shay,Speechless,212745
2019-10-10 15:21,Zac Brown Band,Colder Weather,273893
2019-10-10 16:39,Joe Jonas,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",165894
2019-10-10 22:07,We The Kings,"Check Yes, Juliet",119635
2019-10-11 16:31,Taylor Swift,Holy Ground,200146
2019-10-11 16:34,Neil Diamond,Cracklin' Rosie,178853
2019-10-11 18:47,Rend Collective,Build Your Kingdom Here,65061
2019-10-11 18:53,Elvis Presley,Stuck on You,139640
2019-10-11 18:56,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),199458
2019-10-11 20:42,Zac Brown Band,2 Places at 1 Time,147083
2019-10-11 21:14,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",218776
2019-10-11 21:17,Neil Diamond,Cracklin' Rosie,178853
2019-10-11 21:21,Old Dominion,My Heart Is a Bar,238986
2019-10-11 21:27,Billy Joel,We Didn't Start the Fire,142321
2019-10-11 21:58,Bowling For Soup,Almost,206160
2019-10-11 22:01,Victorious Cast,Take A Hint,84784
2019-10-13 07:19,Stellar Kart,For the First Time in Forever,43035
2019-10-13 22:05,Prince Royce,Back It Up (feat. Jennifer Lopez & Pitbull) - Spanish Version,200952
2019-10-13 22:15,Fall Out Boy,Dear Future Self (Hands Up) [feat. Wyclef Jean],171173
2019-10-13 22:22,Rascal Flatts,My Wish,248280
2019-10-13 22:29,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),100000
2019-10-13 22:36,The All-American Rejects,Dirty Little Secret,193653
2019-10-13 22:36,Chris Tomlin,Come Home Running,37917
2019-10-14 14:40,Dan + Shay,My Side of the Fence,219826
2019-10-14 15:43,Eagles,Take It Easy - 2013 Remaster,193870
2019-10-14 16:44,Old Dominion,Nowhere Fast,188960
2019-10-14 16:48,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),196440
2019-10-14 16:52,Stellar Kart,Can You Feel The Love Tonight,224573
2019-10-14 18:51,Zac Brown Band,Mango Tree,95286
2019-10-14 20:47,ABBA,Chiquitita,284460
2019-10-14 20:50,Neil Diamond,Cracklin' Rosie,178853
2019-10-14 21:37,Old Dominion,Break Up with Him,154205
2019-10-15 15:04,Rex Orange County,Loving Is Easy,155720
2019-10-15 15:04,Macklemore & Ryan Lewis,Same Love - feat. Mary Lambert,32770
2019-10-15 15:15,Old Dominion,Half Empty,170800
2019-10-15 15:19,Taylor Swift,Holy Ground,201853
2019-10-15 16:08,Passion,"Lord, I Need You - Live",274645
2019-10-15 16:11,The Lonely Island,Semicolon,154933
2019-10-15 16:14,Moon Taxi,Two High,213120
2019-10-15 21:13,Sweet,Ballroom Blitz,246573
2019-10-15 21:17,Blackjack Billy,Born to Ride,219693
2019-10-15 21:32,Daddy Yankee,Limbo,224693
2019-10-15 21:39,U2,The Miracle (Of Joey Ramone),255382
2019-10-15 21:47,Fall Out Boy,"Sugar, We're Goin Down",229093
2019-10-15 21:51,Paramore,Misery Business,211520
2019-10-15 21:55,Twenty One Pilots,Fake You Out,231320
2019-10-15 21:59,Brett Dennen,Comeback Kid (That's My Dog),204187
2019-10-15 22:02,blink-182,Darkside,177124
2019-10-15 22:05,Bowling For Soup,Almost,206160
2019-10-15 22:12,Robin Schulz,Sugar (feat. Francesco Yates),219043
2019-10-15 22:16,Skillet,Feel Invincible,229933
2019-10-15 22:29,Fall Out Boy,The Phoenix,244960
2019-10-15 22:29,Ozzy Osbourne,Crazy Train,35242
2019-10-15 22:33,Boys Like Girls,Five Minutes to Midnight,227360
2019-10-15 22:53,blink-182,She's Out Of Her Mind,162720
2019-10-15 22:56,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),212466
2019-10-15 23:00,Pitbull,Haciendo Ruido,188800
2019-10-15 23:02,Eminem,'Till I Collapse,92304
2019-10-16 16:45,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",187853
2019-10-16 16:53,Elvis Presley,Stuck on You,139640
2019-10-16 17:52,Ozomatli,After Party,225960
2019-10-16 17:59,MKTO,How Can I Forget,177140
2019-10-16 20:17,Uncle Kracker,Floatin',178816
2019-10-16 20:23,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),207760
2019-10-16 20:28,Crowder,Come As You Are,289746
2019-10-16 20:29,Gwen Stefani,The Sweet Escape,33232
2019-10-16 21:05,Taylor Swift,The Lucky One,91437
2019-10-16 22:26,Old Dominion,Some People Do,192492
2019-10-16 22:32,Thomas Rhett,Up,77248
2019-10-16 22:39,The Goo Goo Dolls,Come to Me,225333
2019-10-17 00:07,Chris Tomlin,Resurrection Power,46964
2019-10-17 02:58,Thomas Rhett,Marry Me,141397
2019-10-17 03:19,Sweet,Ballroom Blitz,246573
2019-10-17 03:30,Fall Out Boy,"Sugar, We're Goin Down",229093
2019-10-17 03:34,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),196440
2019-10-17 03:38,Lecrae,Tell The World,216726
2019-10-17 03:38,Sports Machine,Chicago Bulls Theme Song (Sirius) [stadium Version],34023
2019-10-17 03:44,Fall Out Boy,The Phoenix,244960
2019-10-17 03:50,Tech N9ne,Worldwide Choppers,326426
2019-10-17 04:32,Veronica Vega,Wave (feat. Lil Wayne & Jeremih),106203
2019-10-17 04:45,Old Dominion,Some People Do,80867
2019-10-17 15:06,Thomas Rhett,Almost,191591
2019-10-17 15:30,Rex Orange County,Sunflower,117234
2019-10-17 16:06,Thomas Rhett,Notice,222853
2019-10-17 16:10,Taylor Swift,Holy Ground,201853
2019-10-17 16:12,Maddie & Tae,Fly,122833
2019-10-17 16:16,Old Dominion,My Heart Is a Bar,238986
2019-10-17 16:18,Creedence Clearwater Revival,Down On The Corner,135687
2019-10-17 17:38,Post Malone,Candy Paint,109243
2019-10-17 19:56,Thomas Rhett,Notice,222853
2019-10-17 19:57,Allman Brothers Band,Ramblin' Man,69644
2019-10-17 19:59,ABBA,Chiquitita,109631
2019-10-17 20:05,Dan + Shay,"10,000 Hours (with Justin Bieber)",149933
2019-10-17 21:14,Fall Out Boy,"Sugar, We're Goin Down",227092
2019-10-17 21:34,U2,The Miracle (Of Joey Ramone),255382
2019-10-17 21:37,High Valley,I Be U Be,213093
2019-10-17 21:54,Jet,Are You Gonna Be My Girl,213800
2019-10-17 21:57,Robin Schulz,Sugar (feat. Francesco Yates),92654
2019-10-18 02:32,Zac Brown Band,My Old Man,54857
2019-10-18 02:35,Gin Blossoms,Hey Jealousy,236626
2019-10-18 02:38,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),116073
2019-10-18 03:43,Troy,Bet On It,51535
2019-10-18 03:49,Thomas Rhett,Notice,57668
2019-10-18 03:57,Thomas Rhett,Notice,165882
2019-10-18 04:05,Old Dominion,One Man Band,186520
2019-10-18 04:14,The Goo Goo Dolls,Sympathy,178146
2019-10-18 04:31,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),196440
2019-10-18 04:38,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",187853
2019-10-18 04:41,Florida Georgia Line,H.O.L.Y.,194186
2019-10-18 04:45,Junior Doctor,Uh Oh,217254
2019-10-18 14:47,Juan Magán,Echa Pa Aca,112735
2019-10-18 15:02,Big Sean,One Man Can Change The World,250091
2019-10-18 15:55,Big Time Rush,Boyfriend,155936
2019-10-18 16:35,Zac Brown Band,My Old Man,129520
2019-10-18 16:38,Troy,Bet On It,198320
2019-10-18 16:48,Sidewalk Prophets,Smile,176133
2019-10-18 16:52,Stealers Wheel,Stuck In The Middle With You,203893
2019-10-18 16:53,blink-182,Adam's Song,39184
2019-10-18 18:14,Post Malone,Candy Paint,227533
2019-10-18 18:19,Fall Out Boy,"Sugar, We're Goin Down",229093
2019-10-18 18:23,Jonas Brothers,Lovebug,220693
2019-10-18 18:38,Jump5,"Aloha, E Komo Mai (Theme Song from Lilo & Stitch: The Series) - Extended Version",144413
2019-10-18 18:56,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),97130
2019-10-19 21:53,Skylar Grey,Do You Remember,33010
2019-10-19 21:55,Sam Hunt,Kinfolks,30060
2019-10-19 21:58,John Rzeznik,"I'm Still Here (Jim's Theme) - From ""Treasure Planet""/Soundtrack Version",142060
2019-10-19 22:09,Troy,Bet On It,74470
2019-10-22 15:02,Thomas Rhett,Almost,191591
2019-10-22 15:03,Demi Lovato,This Is Me,52724
2019-10-22 15:08,ABBA,Chiquitita,327040
2019-10-22 15:09,Fall Out Boy,The Last Of The Real Ones,32192
2019-10-22 15:12,One Direction,No Control,199720
2019-10-22 15:16,HIXTAPE,Nothin’ Out Here (HARDY feat. Thomas Rhett),214600
2019-10-22 15:55,Twenty One Pilots,Fake You Out,136859
2019-10-22 16:17,One Direction,No Control,199720
2019-10-22 17:48,Post Malone,Candy Paint,148435
2019-10-22 21:10,Alan Doyle,"1,2,3,4",65960
2019-10-22 21:13,Fall Out Boy,"Sugar, We're Goin Down",229093
2019-10-22 21:21,U2,The Miracle (Of Joey Ramone),255382
2019-10-22 21:27,Pitbull,Hoy Se Bebe,216866
2019-10-22 21:50,Fetty Wap,679 (feat. Monty),186986
2019-10-22 22:13,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),196440
2019-10-22 22:23,Avicii,Levels,321268
2019-10-22 22:30,Relient K,Sadie Hawkins Dance,177600
2019-10-22 22:32,Blackjack Billy,The Booze Cruise,175560
2019-10-22 22:35,blink-182,Darkside,180960
2019-10-22 22:42,Daddy Yankee,Limbo,224693
2019-10-22 22:44,U2,Vertigo,119334
2019-10-22 22:46,Old Dominion,My Heart Is a Bar,140637
2019-10-22 23:24,Dan + Shay,"10,000 Hours (with Justin Bieber)",167693
2019-10-22 23:57,Jump5,"Aloha, E Komo Mai (Theme Song from Lilo & Stitch: The Series) - Extended Version",58420
2019-10-23 16:50,One Direction,No Control,199720
2019-10-23 16:59,Thomas Rhett,Notice,222853
2019-10-23 17:09,Kygo,Born To Be Yours,139669
2019-10-23 17:29,Guy Sebastian,Like It Like That,172564
2019-10-23 18:35,Brett Dennen,Comeback Kid (That's My Dog),205373
2019-10-23 18:36,Dan + Shay,19 You + Me,31297
2019-10-23 18:38,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,165549
2019-10-23 21:10,One Direction,No Control,199720
2019-10-23 21:15,Mumford & Sons,I Will Wait,276720
2019-10-23 21:17,High Valley,I Be U Be,147316
2019-10-23 21:25,Skillet,Feel Invincible,229933
2019-10-23 21:29,The Beach Boys,Barbara Ann (Stereo) - Remastered,203000
2019-10-23 21:36,Dire Straits,Romeo and Juliet,361395
2019-10-23 21:40,Backstreet Boys,In a World Like This,220216
2019-10-23 21:44,Anuel AA,China,178931
2019-10-23 21:46,Lunay,Soltera - Remix,68100
2019-10-23 22:03,Sean Kingston,Me Love,204293
2019-10-23 22:07,Mumford & Sons,The Cave,217986
2019-10-23 22:31,Jonas Brothers,Strangers,233853
2019-10-23 22:38,Old Dominion,Snapback,184978
2019-10-23 23:32,The Tokens,Tonight I Met an Angel,118306
2019-10-23 23:39,Brewer & Shipley,One Toke Over the Line,199041
2019-10-24 00:07,Boston,Peace of Mind,272712
2019-10-24 16:03,Zac Brown Band,Highway 20 Ride - Greatest Hits Version,229253
2019-10-24 16:07,Robin Schulz,Sugar (feat. Francesco Yates),219043
2019-10-24 16:10,Taio Cruz,Break Your Heart,186266
2019-10-24 16:14,Britney Spears,Toxic,158868
2019-10-24 19:11,Matthew West,Truth Be Told,219440
2019-10-24 19:16,Bowling For Soup,Almost,193953
2019-10-24 19:20,Zac Brown Band,Whatever It Is - Greatest Hits Version,208346
2019-10-24 19:26,Antonio Banderas,Cancion del Mariachi,127226
2019-10-24 19:34,Thomas Rhett,Center Point Road,94746
2019-10-24 19:36,Thomas Rhett,That Old Truck,160968
2019-10-24 19:39,Thomas Rhett,VHS,163119
2019-10-24 19:46,Thomas Rhett,Notice,108022
2019-10-24 21:16,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),196440
2019-10-24 21:17,Flo Rida,GDFR (feat. Sage the Gemini and Lookas) - Noodles Remix,67024
2019-10-24 21:40,Boys Like Girls,Five Minutes to Midnight,227360
2019-10-24 21:51,Foo Fighters,Learn to Fly,235293
2019-10-24 21:53,Willy William,La La La,161847
2019-10-24 21:58,Rush,Limelight,259840
2019-10-24 22:04,Tech N9ne,Worldwide Choppers,326426
2019-10-24 22:08,Hollywood Undead,Everywhere I Go,210466
2019-10-24 22:14,Boys Like Girls,Heels Over Head - Tom Lord-Alge Mix,188440
2019-10-24 22:19,Eminem,Without Me,290320
2019-10-24 22:26,Qwote,Throw Your Hands Up (Dancar Kuduro) [Radio Edit] (feat. Pitbull & Lucenzo),213066
2019-10-24 22:30,Skillet,Hero,186813
2019-10-24 22:33,Skillet,Monster,178013
2019-10-24 22:44,We The Kings,"Check Yes, Juliet",220146
2019-10-24 23:17,Zac Brown Band,Jump Right In - Greatest Hits Version,123961
2019-10-25 14:36,Limahl,Never Ending Story,183587
2019-10-25 14:40,Matthew West,Truth Be Told,219440
2019-10-25 14:44,Justin Bieber,That Should Be Me,230786
2019-10-25 15:48,Dan + Shay,"10,000 Hours (with Justin Bieber)",139425
2019-10-25 15:53,Pentatonix,Sing,177240
2019-10-25 16:38,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),207760
2019-10-25 18:34,Taylor Swift,State Of Grace,101153
2019-10-25 20:00,Limahl,Never Ending Story,212173
2019-10-25 20:13,Ed Sheeran,Castle on the Hill,261153
2019-10-25 20:28,Taylor Swift,Holy Ground,201853
2019-10-25 20:35,Straight No Chaser,Text Me Merry Christmas (feat. Kristen Bell),160840
2019-10-25 20:49,Neil Diamond,Cracklin' Rosie,178853
2019-10-25 20:53,Dan + Shay,Speechless,212745
2019-10-25 20:59,Fall Out Boy,"Sugar, We're Goin Down",229093
2019-10-25 21:30,The Beach Boys,Barbara Ann (Stereo) - Remastered,145489
2019-10-25 23:54,The Goo Goo Dolls,Sympathy,68739
2019-10-26 05:25,Todd Rundgren,Bang the Drum All Day,36480
2019-10-27 22:14,Limahl,Never Ending Story,212173
2019-10-27 22:22,Jonas Blue,Perfect Strangers,30686
2019-10-27 22:22,Thomas Rhett,Almost,191591
2019-10-27 22:27,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",221460
2019-10-27 23:12,Brad Paisley,Mud on the Tires,208266
2019-10-27 23:26,U2,The Miracle (Of Joey Ramone),173822
2019-10-28 14:44,Limahl,Never Ending Story,212173
2019-10-28 14:54,Neil Diamond,Cracklin' Rosie,178853
2019-10-28 15:15,MKTO,American Dream,95748
2019-10-28 16:42,Keith Urban,Parallel Line,253084
2019-10-28 17:53,Joseph Vincent,Set You Free,205529
2019-10-28 18:54,Mitchel Musso,Hey,107226
2019-10-29 15:03,Old Dominion,Make It Sweet,187000
2019-10-29 15:15,Junior Doctor,Uh Oh,217254
2019-10-29 16:15,Sidewalk Prophets,Smile,176133
2019-10-29 16:15,Sam Smith,Stay With Me,40016
2019-10-29 16:17,Lobo,California Kid and Reemo,81843
2019-10-29 21:30,Skillet,Feel Invincible,229933
2019-10-29 21:33,Jessy Matador,Allez Ola Olé,172745
2019-10-29 21:37,The Offspring,"You're Gonna Go Far, Kid",177826
2019-10-29 21:42,Fall Out Boy,The Phoenix,244960
